RotationX,RotationY,RotationZ,PositionX,PositionY,PositionZ,Frame,TimeFromStart,TimeInTrial,Block,Trial,Scene,Condition,IsTrial,IsWait
0,0,0,0,0.01,0,5844,0.9399996,0,-1,-20,Begin 1,0,0,1
0,0,0,0,0.01,0,5845,0.9599996,0,-1,-20,Begin 1,0,0,1
0,0,0,0,0.01,0,5846,0.9799996,0,-1,-20,Begin 1,0,0,1
0,0,0,0,0.01,0,5847,0.9999996,0,-1,-20,Begin 1,0,0,1
0,0,0,0,0.01,0,5848,1.02,0,-1,-20,Begin 1,0,0,1
0,0,0,0,0.01,0,5849,1.04,0,-1,-20,Begin 1,0,0,1
0,0,0,0,0.01,0,5851,1.06,0,-1,-20,Begin 1,0,0,1
0,0,0,0,0.01,0,5852,1.08,0,-1,-20,Begin 1,0,0,1
0,0,0,0,0.01,0,5854,1.1,0,-1,-20,Begin 1,0,0,1
0,0,0,0,0.01,0,5856,1.12,0,-1,-20,Begin 1,0,0,1
0,0,0,0,0.01,0,5857,1.14,0,-1,-20,Begin 1,0,0,1
0,0,0,0,0.01,0,5859,1.159999,0,-1,-20,Begin 1,0,0,1
0,0,0,0,0.01,0,5861,1.179999,0,-1,-20,Begin 1,0,0,1
0,0,0,0,0.01,0,5862,1.199999,0,-1,-20,Begin 1,0,0,1
0,0,0,0,0.01,0,5864,1.219999,0,-1,-20,Begin 1,0,0,1
0,0,0,0,0.01,0,5866,1.239999,0,-1,-20,Begin 1,0,0,1
0,0,0,0,0.01,0,5867,1.259999,0,-1,-20,Begin 1,0,0,1
0,0,0,0,0.01,0,5869,1.279999,0,-1,-20,Begin 1,0,0,1
0,0,0,0,0.01,0,5871,1.299999,0,-1,-20,Begin 1,0,0,1
0,0,0,0,0.01,0,5872,1.319999,0,-1,-20,Begin 1,0,0,1
0,0,0,0,0.01,0,5873,1.339999,0,-1,-20,Begin 1,0,0,1
0,0,0,0,0.01,0,5873,1.359999,0,-1,-20,Begin 1,0,0,1
0,0,0,0,0.01,0,5873,1.379999,0,-1,-20,Begin 1,0,0,1
0,0,0,0,0.01,0,5874,1.399999,0,-1,-20,Begin 1,0,0,1
0,0,0,0,0.01,0,5875,1.419999,0,-1,-20,Begin 1,0,0,1
0,0,0,0,0.01,0,5876,1.439999,0,-1,-20,Begin 1,0,0,1
0,0,0,0,0.01,0,5878,1.459999,0,-1,-20,Begin 1,0,0,1
0,0,0,0,0.01,0,5879,1.479999,0,-1,-20,Begin 1,0,0,1
